nvars ; n minterms f ; n minterms d ; prime comp. time ; min cover comp. time ; total time ; sol. size
4 ; 1.6 ; 0 ; 6.7e-06 ; 5.35e-06 ; 1.205e-05 ; 1.4
5 ; 3.2 ; 0 ; 8.35e-06 ; 6.9e-06 ; 1.525e-05 ; 2.35
6 ; 6.4 ; 0 ; 1.495e-05 ; 1.22e-05 ; 2.715e-05 ; 5.1
7 ; 12.8 ; 0 ; 2.9e-05 ; 3.1e-05 ; 6e-05 ; 10.5
8 ; 25.6 ; 0 ; 6.275e-05 ; 8.325e-05 ; 0.000146 ; 18.2
9 ; 51.2 ; 0 ; 0.00023655 ; 0.0004792 ; 0.00071575 ; 36.45
10 ; 102.4 ; 0 ; 0.00065745 ; 0.00157445 ; 0.0022319 ; 74.65
