nvars ; n minterms f ; n minterms d ; prime comp. time ; min cover comp. time ; total time ; sol. size
4 ; 3.2 ; 0 ; 1.79e-05 ; 7.75e-06 ; 2.565e-05 ; 2.45
5 ; 6.4 ; 0 ; 1.78e-05 ; 1.145e-05 ; 2.925e-05 ; 4.35
6 ; 12.8 ; 0 ; 3.465e-05 ; 3.135e-05 ; 6.6e-05 ; 9.15
7 ; 25.6 ; 0 ; 7.955e-05 ; 8.945e-05 ; 0.000169 ; 16.65
8 ; 51.2 ; 0 ; 0.00042735 ; 0.0007618 ; 0.00118915 ; 31.3
9 ; 102.4 ; 0 ; 0.00067045 ; 0.00155875 ; 0.0022292 ; 59.85
10 ; 204.8 ; 0 ; 0.00206345 ; 0.00611645 ; 0.0081799 ; 117.05
