nvars ; n minterms f ; n minterms d ; prime comp. time ; min cover comp. time ; total time ; sol. size
4 ; 4.8 ; 0 ; 2.445e-05 ; 1.36e-05 ; 3.805e-05 ; 3.25
5 ; 9.6 ; 0 ; 4.705e-05 ; 2.735e-05 ; 7.44e-05 ; 5.6
6 ; 19.2 ; 0 ; 0.00010705 ; 8.395e-05 ; 0.000191 ; 11.25
7 ; 38.4 ; 0 ; 0.00017575 ; 0.00020355 ; 0.0003793 ; 20.85
8 ; 76.8 ; 0 ; 0.0003877 ; 0.000854 ; 0.0012417 ; 39.9
9 ; 153.6 ; 0 ; 0.0016049 ; 0.00467525 ; 0.00628015 ; 74.9
10 ; 307.2 ; 0 ; 0.0058864 ; 0.0240259 ; 0.0299123 ; 141.95
