nvars ; n minterms f ; n minterms d ; prime comp. time ; min cover comp. time ; total time ; sol. size
4 ; 3.2 ; 0 ; 1.04e-05 ; 7.1e-06 ; 1.75e-05 ; 2.45
5 ; 6.4 ; 0 ; 1.665e-05 ; 1.245e-05 ; 2.91e-05 ; 4.35
6 ; 12.8 ; 0 ; 3.395e-05 ; 3.24e-05 ; 6.635e-05 ; 9.15
7 ; 25.6 ; 0 ; 8.045e-05 ; 9.355e-05 ; 0.000174 ; 16.65
8 ; 51.2 ; 0 ; 0.00026755 ; 0.00047515 ; 0.0007427 ; 31.3
9 ; 102.4 ; 0 ; 0.0010578 ; 0.00165405 ; 0.00271185 ; 59.85
10 ; 204.8 ; 0 ; 0.00196055 ; 0.006879 ; 0.00883955 ; 117.05
