nvars ; n minterms f ; n minterms d ; prime comp. time ; min cover comp. time ; total time ; sol. size
4 ; 4.8 ; 0 ; 1.4e-05 ; 1.07e-05 ; 2.47e-05 ; 3.25
5 ; 9.6 ; 0 ; 3.13e-05 ; 1.84e-05 ; 4.97e-05 ; 5.6
6 ; 19.2 ; 0 ; 7.445e-05 ; 5.785e-05 ; 0.0001323 ; 11.25
7 ; 38.4 ; 0 ; 0.0002683 ; 0.00024515 ; 0.00051345 ; 20.85
8 ; 76.8 ; 0 ; 0.0007133 ; 0.0012118 ; 0.0019251 ; 39.75
9 ; 153.6 ; 0 ; 0.00176285 ; 0.00440745 ; 0.0061703 ; 75.25
10 ; 307.2 ; 0 ; 0.00659465 ; 0.026199 ; 0.0327937 ; 143.1
