nvars ; n minterms f ; n minterms d ; prime comp, time ; min cover comp, time ; total time ; sol, size
4 ; 1,6 ; 0 ; 1,46e-05 ; 5,05e-06 ; 1,965e-05 ; 1,4
5 ; 3,2 ; 0 ; 7,55e-06 ; 5,95e-06 ; 1,35e-05 ; 2,35
6 ; 6,4 ; 0 ; 1,51e-05 ; 1,325e-05 ; 2,835e-05 ; 5,1
7 ; 12,8 ; 0 ; 3,795e-05 ; 4,46e-05 ; 8,255e-05 ; 10,5
8 ; 25,6 ; 0 ; 0,00011005 ; 0,00016445 ; 0,0002745 ; 18,2
9 ; 51,2 ; 0 ; 0,00037905 ; 0,0005482 ; 0,00092725 ; 36,45
10 ; 102,4 ; 0 ; 0,0008191 ; 0,00195195 ; 0,00277105 ; 74,65
