nvars ; n minterms f ; n minterms d ; prime comp, time ; min cover comp, time ; total time ; sol, size
4 ; 4,8 ; 0 ; 1,595e-05 ; 9,1e-06 ; 2,505e-05 ; 3,25
5 ; 9,6 ; 0 ; 3,835e-05 ; 1,89e-05 ; 5,725e-05 ; 5,6
6 ; 19,2 ; 0 ; 7,33e-05 ; 5,98e-05 ; 0,0001331 ; 11,25
7 ; 38,4 ; 0 ; 0,00028935 ; 0,0002393 ; 0,00052865 ; 20,85
8 ; 76,8 ; 0 ; 0,00073115 ; 0,00111735 ; 0,0018485 ; 39,75
9 ; 153,6 ; 0 ; 0,0016052 ; 0,00425675 ; 0,00586195 ; 75,25
10 ; 307,2 ; 0 ; 0,0059673 ; 0,0251577 ; 0,0311251 ; 143,1
