nvars ; n minterms f ; n minterms d ; prime comp, time ; min cover comp, time ; total time ; sol, size
4 ; 4,8 ; 0 ; 1,465e-05 ; 1,135e-05 ; 2,6e-05 ; 3,25
5 ; 9,6 ; 0 ; 3,365e-05 ; 2,01e-05 ; 5,375e-05 ; 5,6
6 ; 19,2 ; 0 ; 8,97e-05 ; 6,58e-05 ; 0,0001555 ; 11,25
7 ; 38,4 ; 0 ; 0,00019735 ; 0,0002363 ; 0,00043365 ; 20,85
8 ; 76,8 ; 0 ; 0,0006935 ; 0,0011692 ; 0,0018627 ; 39,75
9 ; 153,6 ; 0 ; 0,00160215 ; 0,0039774 ; 0,00557955 ; 75,25
10 ; 307,2 ; 0 ; 0,0062883 ; 0,0253654 ; 0,0316537 ; 143,1
