nvars ; n minterms f ; n minterms d ; prime comp, time ; min cover comp, time ; total time ; sol, size
4 ; 3,2 ; 0 ; 1,055e-05 ; 6e-06 ; 1,655e-05 ; 2,45
5 ; 6,4 ; 0 ; 1,56e-05 ; 1,05e-05 ; 2,61e-05 ; 4,35
6 ; 12,8 ; 0 ; 3,35e-05 ; 2,94e-05 ; 6,29e-05 ; 9,15
7 ; 25,6 ; 0 ; 6,79e-05 ; 9,36e-05 ; 0,0001615 ; 16,65
8 ; 51,2 ; 0 ; 0,0004392 ; 0,0004674 ; 0,0009066 ; 31,3
9 ; 102,4 ; 0 ; 0,0006853 ; 0,0017047 ; 0,00239 ; 59,85
10 ; 204,8 ; 0 ; 0,0021317 ; 0,0068786 ; 0,0090103 ; 117,05
