nvars ; n minterms f ; n minterms d ; prime comp, time ; min cover comp, time ; total time ; sol, size
4 ; 4,8 ; 0 ; 1,62e-05 ; 7,45e-06 ; 2,365e-05 ; 3,25
5 ; 9,6 ; 0 ; 6,775e-05 ; 1,95e-05 ; 8,725e-05 ; 5,6
6 ; 19,2 ; 0 ; 0,00022175 ; 5,305e-05 ; 0,0002748 ; 11,25
7 ; 38,4 ; 0 ; 0,0012861 ; 0,0002686 ; 0,0015547 ; 20,85
8 ; 76,8 ; 0 ; 0,0038481 ; 0,00080465 ; 0,00465275 ; 39,75
9 ; 153,6 ; 0 ; 0,0195574 ; 0,0040145 ; 0,0235719 ; 75,25
10 ; 307,2 ; 0 ; 0,0907811 ; 0,0238197 ; 0,114601 ; 143,1
