nvars ; n minterms f ; n minterms d ; prime comp, time ; min cover comp, time ; total time ; sol, size
4 ; 1,6 ; 0 ; 5,55e-06 ; 4,15e-06 ; 9,7e-06 ; 1,4
5 ; 3,2 ; 0 ; 6,9e-06 ; 6,9e-06 ; 1,38e-05 ; 2,35
6 ; 6,4 ; 0 ; 1,455e-05 ; 1,135e-05 ; 2,59e-05 ; 5,1
7 ; 12,8 ; 0 ; 2,685e-05 ; 3,1e-05 ; 5,785e-05 ; 10,5
8 ; 25,6 ; 0 ; 6,61e-05 ; 7,75e-05 ; 0,0001436 ; 18,2
9 ; 51,2 ; 0 ; 0,0002429 ; 0,00046035 ; 0,00070325 ; 36,45
10 ; 102,4 ; 0 ; 0,0006274 ; 0,0015704 ; 0,0021978 ; 74,65
